cactus (plant, 5 letters, 2 syllables)
moss (plant, 4 letters, 1 syllable)
lily (plant, 4 letters, 2 syllables)
yucca (plant, 5 letters, 2 syllables)
orchid (plant, 6 letters, 2 syllables)
ivy (plant, 3 letters, 2 syllables)
gecko (animal, 5 letters, 2 syllables)
bobcat (animal, 6 letters, 2 syllables)
dolphin (animal, 7 letters, 2 syllables)
squirrel (animal, 8 letters, 2 syllables)
cobra (animal, 5 letters, 2 syllables)
parrot (animal, 6 letters, 2 syllables)
pizza (food, 5 letters, 2 syllables)
hummus (food, 6 letters, 2 syllables)
pho (food, 3 letters, 1 syllable)
waffles (food, 7 letters, 2 syllables)
burger (food, 6 letters, 2 syllables)
lasagna (food, 7 letters, 3 syllables)
japan (country, 5 letters, 2 syllables)
canada (country, 6 letters, 3 syllables)
vietnam (country, 7 letters, 3 syllables)
brazil (country, 6 letters, 2 syllables)
russia (country, 6 letters, 2 syllables)
denmark (country, 7 letters, 2 syllables)
soccer (sport, 6 letters, 2 syllables)
basketball (sport, 10 letters, 3 syllables)
cricket (sport, 7 letters, 2 syllables)
swimming (sport, 8 letters, 2 syllables)
baseball (sport, 8 letters, 2 syllables)
football (sport, 8 letters, 2 syllables)
hockey (sport, 6 letters, 2 syllables)
lacrosse (sport, 8 letters, 2 syllables)
badminton (sport, 9 letters, 3 syllables)
tennis (sport, 6 letters, 2 syllables)
volleyball (sport, 10 letters, 3 syllables)
golf (sport, 4 letters, 1 syllable)
bamboo (plant, 6 letters, 2 syllables)
palm (plant, 4 letters, 1 syllable)
pothos (plant, 6 letters, 2 syllables)
monstera (plant, 8 letters, 3 syllables)
philodendron (plant, 12 letters, 4 syllables)
calathea (plant, 8 letters, 4 syllables)
fern (plant, 4 letters, 1 syllable)
hoya (plant, 4 letters, 2 syllables)
dog (animal, 3 letters, 1 syllable)
cat (animal, 3 letters, 1 syllable)
cow (animal, 3 letters, 1 syllable)
pig (animal, 3 letters, 1 syllable)
horse (animal, 5 letters, 1 syllable)
chicken (animal, 7 letters, 2 syllables)
goat (animal, 4 letters, 1 syllable)
lion (animal, 4 letters, 2 syllables)
tiger (animal, 5 letters, 2 syllables)
bear (animal, 4 letters, 1 syllable)
rabbit (animal, 6 letters, 2 syllables)
hamster (animal, 7 letters, 2 syllables)
ferret (animal, 6 letters, 2 syllables)
turtle (animal, 6 letters, 2 syllables)
tortoise (animal, 8 letters, 2 syllables)
alligator (animal, 9 letters, 4 syllables)
crocodile (animal, 9 letters, 3 syllables)
soup (food, 4 letters, 1 syllable)
salad (food, 5 letters, 2 syllables)
